simulation_id,final_value,cagr
34610,807533.9736114009,0.05230112455915226
34611,1162391.3508911177,0.06909901335010393
34612,1266558.6119558057,0.07309578889898982
34613,1303315.1949013562,0.07443134986945221
34614,875429.4868704005,0.05600116750854145
34615,1435088.4647913103,0.07894009708510796
34616,1473793.380072615,0.08018925242307406
34617,2009720.0504604185,0.09485430042166909
34618,1937076.753477823,0.09310320109469905
34619,1275800.1120213359,0.07343503654645867
34620,1543109.9668269642,0.08234992128925556
34621,1508282.5114147684,0.08127618686994653
34622,1340897.9880794745,0.07576018497118375
34623,1126968.3652632919,0.06766142772574302
34624,1139423.4676731424,0.06817176367885835
34625,1514465.5201164437,0.08146852967217444
34626,1534391.617369632,0.08208332536380047
34627,2587455.669273378,0.10694875917666358
34628,1891515.917392082,0.09197259413384384
34629,1363632.4751614435,0.07654683194943024
34630,2610724.5063588987,0.10737972264310369
34631,1055381.3436226547,0.06461926783677985
34632,1116460.2042758365,0.06722665237117975
34633,1345218.5044883902,0.07591065818202014
34634,1010219.2269678891,0.06259680384377764
34635,1202772.4806799174,0.07068756735613602
34636,1872456.180779473,0.09149187379479273
34637,2170330.8640423724,0.09852029347431834
34638,1914595.0077754124,0.09254852581801587
34639,957186.4347255533,0.060108419551072156
34640,1289214.9895099131,0.07392332609486418
34641,2226548.106624993,0.09974237562134869
34642,1637600.9721388696,0.08515035411607896
34643,1396344.9681096987,0.07765699652733393
34644,1265763.1626623305,0.07306647805362276
34645,1721329.8920038983,0.0875055516853529
34646,1707157.4595647135,0.08711471087312406
34647,1248515.00344213,0.07242654359124923
34648,972667.1226540862,0.060848159615163544
34649,1688301.596742821,0.08658987313732092
34650,1033359.025654877,0.0636436222878547
34651,1183050.3088578833,0.0699181972922771
34652,2204491.659840699,0.099266457084483
34653,1283565.2565022614,0.0737182760347379
34654,1989535.8847231646,0.09437390541450785
34655,1353202.3346002493,0.07618750345356595
34656,1860402.6120390745,0.09118543955344527
34657,1148578.6610806617,0.0685434976306798
34658,1740369.460578912,0.08802579874883087
34659,873904.2386008333,0.05592110704938413
34660,2006788.8982811572,0.09478482448457948
34661,1589223.9140062307,0.08373649675710038
34662,2072555.9053773733,0.09632082267987552
34663,1840403.4252320558,0.09067279195734446
34664,1091246.5308644962,0.06616726009150575
34665,1707975.8131897217,0.08713736333559297
34666,858723.1496424581,0.055116883000170036
34667,1414933.4636764666,0.07827680039709617
34668,1085805.1154452076,0.06593556098318798
34669,2126585.0606625276,0.09754818985402003
34670,2258972.5317911995,0.10043388267519893
34671,933671.5359454347,0.05896257890225298
34672,1162065.1714965962,0.06908596809619683
